email subject,email body,company name (expected output)
Keep track of your application,"Keep track of your application Hi Aaryaman, Thank you for your interest in Software Development Engineer Intern, Prime Air, Prime Air (AMOS) (ID: 2602881). If you have completed the application: Great! You can now check the application status here . If you are still working on the application: Don't worry! You can complete it here when you're ready. If you'd like to learn more about our culture and peculiar ways, visit amazon.jobs . Or you can get the latest Amazon news and stories by following our Day One blog . Best regards, Amazon Recruiting Team Amazon is an equal opportunity employer. Protecting your privacy and the security of your data are longstanding top priorities for Amazon. If you are an external candidate, please consult our Privacy Notice to know more about how we collect, use, and transfer the personal data of our candidates. You can let us know if you do not want to be contacted for recruitment purposes. Please refer to the ""What are my rights under applicable data protection laws?"" section of the Notice for more information. If you are an internal candidate, please consult the Employee Privacy Notice . Please don't reply to this email, as we can't review or respond to messages at this address.",Amazon
Your application to Software Engineer Intern at Scoper Inc.,"Your application to Software Engineer Intern at Scoper Inc. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your update from Scoper Inc. Software Engineer Intern Scoper Inc. · United States Applied on May 17 Thank you for your interest in the Software Engineer Intern position at Scoper in United States. Unfortunately, Scoper did not select your application to move forward in the hiring process. Regards, Scoper Top jobs looking for your skills Software Engineer Intern Sapidly · United States Software Engineer Intern Anarchy Labs · New York, New York, United States Software Engineering Intern Clean Seal, Inc · United States Intern, Software Engineer eMoney Advisor · United States Software Engineering Intern Netography · Annapolis, Maryland, United States See more jobs Get the new LinkedIn desktop app Also available on mobile This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology) Learn why we included this. You are receiving LinkedIn notification emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Scoper
Your application to AI/ML Engineer Intern - Fall 2024 at Cranium,"Your application to AI/ML Engineer Intern - Fall 2024 at Cranium ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your update from Cranium AI/ML Engineer Intern - Fall 2024 Cranium · United States Applied on May 16 Thank you for your interest in the AI/ML Engineer Intern - Fall 2024 position at Cranium in United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Cranium. Regards, Cranium Top jobs looking for your skills Intern, Software Engineer eMoney Advisor · United States Software Engineer Intern Vectara · Palo Alto, California, United States Java Developer ( Entry Level ) TEKtalent Inc · Massachusetts, United States AI/ML Engineer Intern - Spring 2025 Cranium · United States Software Engineering Intern Netography · Annapolis, Maryland, United States See more jobs Get the new LinkedIn desktop app Also available on mobile This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology) Learn why we included this. You are receiving LinkedIn notification emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Cranium
"Aaryaman, your application was sent to Scoper","Your application was sent to Scoper‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Your application was sent to Scoper Software Engineer Intern Scoper · United States Applied: 4 seconds ago View similar jobs you may be interested in 2024 Summer Intern: Back End Developer IBM · San Jose, CA Intern, Software Engineer eMoney Advisor · United States Java Developer ( Entry Level ) TEKtalent Inc · Massachusetts, United States See more This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology). Learn why we included this. You are receiving Job Application Confirmation emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Scoper
"Aaryaman, your application was sent to Momentus Technologies","Your application was sent to Momentus Technologies‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Your application was sent to Momentus Technologies Software Engineering Intern - Summer 2024 - Remote Momentus Technologies · St Louis, MO Applied: 1 minute ago View similar jobs you may be interested in 2024 Summer Intern: Back End Developer IBM · San Jose, CA Software Engineer Intern Scoper · United States Java Developer ( Entry Level ) TEKtalent Inc · Massachusetts, United States See more This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology). Learn why we included this. You are receiving Job Application Confirmation emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Momentus Technologies
Your BMO Alto application has been declined,"Hello Aaryaman Agarwal, Thank you for your interest in BMO Alto. Unfortunately, your account application has been declined. If you believe you have entered information incorrectly, we invite you to re-apply. Thank you for choosing BMO Alto. Application ID: 04R09YY171GV9733778G Email ID: 105.01 ** This is an unmonitored mailbox. Please do not reply to this email. ** Corporate Address: 320 S. Canal St., Chicago, IL 60606 BMO Alto is a trade name used by BMO Bank N.A. Deposits made in U.S. accounts under the BMO brand name, including BMO Alto, are not separately insured by the FDIC and count towards your FDIC deposit insurance limit at BMO Bank N.A. Banking products and services are subject to approval and are provided by BMO Bank N.A. Member FDIC BMO will never send you an email asking you to provide personal or confidential information (such as your debit or credit card number, passwords; or identification like Social Security Number or Driver's License). If you receive a suspicious email purporting to be from a member of BMO Financial Group, do not reply or click on any links. Instead, report the suspicious email to phishing@bmo.com immediately. Visit bmo.com/us/security for ways to help protect yourself online. When responding via email to BMO, please do not include any sensitive or confidential information in your message.",BMO Alto
"Aaryaman, your application was sent to Blooket","Your application was sent to Blooket‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Your application was sent to Blooket Phaser Game Developer Blooket · United States Applied: 4 seconds ago View similar jobs you may be interested in Software Engineer Intern Scoper · United States Software Engineer Intern Trofi · United States Software Engineer Intern Anarchy Labs · New York, NY See more This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology). Learn why we included this. You are receiving Job Application Confirmation emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Blooket
"Aaryaman, your application was sent to Cranium","Your application was sent to Cranium‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Your application was sent to Cranium AI/ML Engineer Intern - Fall 2024 Cranium · United States Applied: 1 minute ago View similar jobs you may be interested in AI/ML Engineer Intern - Spring 2025 Cranium · United States Software Engineer Intern Go Links · United States Software Engineer Intern Scoper · United States See more This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology). Learn why we included this. You are receiving Job Application Confirmation emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Cranium
Important information about your application to Coinbase,"Hi Aaryaman, Thank you for applying to the Summer 2024 - Software Engineer Intern role at Coinbase. We’re truly inspired by the talented people interested in building an open financial system for the world. While this is never easy news to share, we've decided not to move forward with your candidacy. We appreciate you sharing your qualifications; however, we currently have other candidates with experience that align more closely with our needs at this time. Please keep an eye out for future positions that might be of interest to you, and we will continue to keep your information on file for new openings. We wish you the very best in your job search and future adventures! Coinbase Recruiting Join our Stand with Crypto campaign and become an advocate today.",Coinbase
"Aaryaman, your application was sent to INDI Staffing Services","Your application was sent to INDI Staffing Services‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ Your application was sent to INDI Staffing Services Work From Home Junior Java Developer INDI Staffing Services · Bogotá Applied: 2 minutes ago View similar jobs you may be interested in Software Engineer Microsoft · New York, United States Software Engineer Microsoft · United States Software Engineer Microsoft · California, United States See more This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology). Learn why we included this. You are receiving Job Application Confirmation emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",INDI Staffing Services
Important information about your application to Fortra- Intern IBM i,"Dear Aaryaman, Thank you for your interest in joining Fortra. We recognize that there are many employers for you to choose from, and we sincerely appreciate your time and interest in our company. Our team has carefully reviewed your background and qualifications, and we will be moving forward with other candidates at this time for this position. However, we encourage you to apply for other openings at the company in the future. Sincerely, Fortra Global Talent Acquisition Team",Fortra
Thank you for your application to HHAeXchange!,"Hi Aaryaman, Thank you for your interest in HHAeXchange! We have received your application for the Software Engineer Intern position and are delighted that you would like to learn more about this opportunity. Our hiring team is currently reviewing applications and if your qualifications match the needs of this role, you will receive an email from one of our recruiters to schedule a phone interview. Thank you again for taking the time to apply to this role at HHAeXchange. Best Regards, The Talent Acquisition Team",HHAeXchange!
Your application to Software Engineer Intern at Boostability,"Your application to Software Engineer Intern at Boostability ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your update from Boostability Software Engineer Intern Boostability · United States Applied on May 24 Thank you for your interest in the Software Engineer Intern position at Boostability in United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Boostability. Regards, Boostability Top jobs looking for your skills Full Stack Developer Intern CoE Mentoring · Silver Spring, Maryland, United States Software Engineer - Early Stage Startups Stealth Startup · United States Entry Level Software Engineer (Remote) Engtal · United States Internship, Software Engineer, AI Inference (Fall 2024) Tesla · Palo Alto, California, United States Software Engineering Intern Bio-Rad Laboratories · Pleasanton, California, United States See more jobs Get the new LinkedIn desktop app Also available on mobile This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology) Learn why we included this. You are receiving LinkedIn notification emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Boostability
Your application to Scale AI was sent 🙌,"Braintrust Email Template Keep the good vibes going by checking in the with community ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  ͏ ‌  Hi Aaryaman, Your application was sent! We noticed you recently applied for a position with Scale AI . While you await feedback on your application, another member of the community asked a question on the Career Help feed that matches your expertise. Could you spare a moment to assist? Engaging with the community might lead to unexpected opportunities! Ahmed Ali · Engineering Freelancing BrainTrust is it worth it ? Hey folks, just joined the community and I'm seeing a ton of posts about the struggle to land gigs or secure long-term positions. With so many platforms out there, I'm curious: is it all wo… View post MN Muhammad Nouman · Engineering Job Search + Interviewing Opportunities as Offshore Talent Hello! I just joined Braintrust; I am targeting to get international opportunities as offshore .NET Full-Stack Web Developer. I have about 3-4 Years of experience in working on Applications which are… View post Jose juarez · Engineering Job Search + Interviewing Excited to be a part of this community hello braintrust community, I just applied for a position with you, I have 7 years of experience giving preventive and corrective maintenance to computers, providing customer service and solving thei… View post Have a question? Read Articles Visit our help center and read the articles Contact Support at support@usebraintrust.com This email was sent to aaryaman04@gmail.com as a registered member of Braintrust. Use of the service and website is subject to our Terms of Service and Privacy Policy . No longer wish to receive these emails? Adjust your settings . © 2024 Braintrust. All rights reserved.",Scale AI
Your application to Software Engineer Intern at Scoper Inc.,"Your application to Software Engineer Intern at Scoper Inc. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your update from Scoper Inc. Software Engineer Intern Scoper Inc. · United States Applied on May 17 Thank you for your interest in the Software Engineer Intern position at Scoper in United States. Unfortunately, Scoper did not select your application to move forward in the hiring process. Regards, Scoper Top jobs looking for your skills Software Engineer Intern Sapidly · United States Software Engineer Intern Anarchy Labs · New York, New York, United States Software Engineering Intern Clean Seal, Inc · United States Intern, Software Engineer eMoney Advisor · United States Software Engineering Intern Netography · Annapolis, Maryland, United States See more jobs Get the new LinkedIn desktop app Also available on mobile This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology) Learn why we included this. You are receiving LinkedIn notification emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Scoper
Your application to AI/ML Engineer Intern - Fall 2024 at Cranium,"Your application to AI/ML Engineer Intern - Fall 2024 at Cranium ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Your update from Cranium AI/ML Engineer Intern - Fall 2024 Cranium · United States Applied on May 16 Thank you for your interest in the AI/ML Engineer Intern - Fall 2024 position at Cranium in United States. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in Cranium. Regards, Cranium Top jobs looking for your skills Intern, Software Engineer eMoney Advisor · United States Software Engineer Intern Vectara · Palo Alto, California, United States Java Developer ( Entry Level ) TEKtalent Inc · Massachusetts, United States AI/ML Engineer Intern - Spring 2025 Cranium · United States Software Engineering Intern Netography · Annapolis, Maryland, United States See more jobs Get the new LinkedIn desktop app Also available on mobile This email was intended for Aaryaman Agarwal (Computer Science Student at Georgia Institute of Technology) Learn why we included this. You are receiving LinkedIn notification emails. Unsubscribe · Help © 2024 LinkedIn Corporation, 1‌000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",Cranium
Important information about your application to Coinbase,"Hi Aaryaman, Thank you for applying to the Summer 2024 - Software Engineer Intern role at Coinbase. We’re truly inspired by the talented people interested in building an open financial system for the world. While this is never easy news to share, we've decided not to move forward with your candidacy. We appreciate you sharing your qualifications; however, we currently have other candidates with experience that align more closely with our needs at this time. Please keep an eye out for future positions that might be of interest to you, and we will continue to keep your information on file for new openings. We wish you the very best in your job search and future adventures! Coinbase Recruiting Join our Stand with Crypto campaign and become an advocate today.",Coinbase
Regarding your application to Coinbase Careers Page,Hello Aaryn! Reaching out from Coinbase! We notice that you indicated you had an offer from Tesla rescinded. Can you please share your offer letter here within 24 hours in order to move through our process? Thanks!,Coinbase
